item_id,item_name
10445,"senche's maul"
10446,"midnight union ailettes"
10447,"burnished knife"
10448,"senche's axe"
10449,"axe of trinimac's valor"
1045,"major glyph of hardening"
10450,"lightning staff of trinimac's valor"
10451,"sword of the pariah"
10452,"mace of the pariah"
10453,"spelunker's belt"
10454,"briarheart dagger"
10455,"kyne's honor"
10456,"hefty bonestrewn gauntlets"
10457,"crafting motif 38: draugr shields"
10458,"crafting motif 38: draugr legs"
10459,"crafting motif 38: draugr helmets"
1046,"superb glyph of increase magical harm"
10460,"knight-errant's helm"
10461,"crafting motif 38: draugr chests"
10462,"crafting motif 38: draugr axes"
10463,"drain magicka poison viii"
10464,"frostwind axe"
10465,"voljar meadery seal"
10466,"binder's robe"
10467,"kilt of the fractured mind"
10468,"patriot's mace"
10469,"war-mage's cowl"
1047,"alik'r beets with goat cheese"
10470,"queensguard greaves"
10471,"master's sharpsword"
10472,"yokudan epaulets"
10473,"curse-breaker's boots"
10474,"helm of the ash'abah"
10475,"king haqmir's bindings of the withered hand"
10476,"zariya's sorrow"
10477,"wildur's oath-ring"
10478,"harpy feather shirt"
10479,"suturah's hubris"
1048,"crawdad quiche"
10480,"warden's gauntlets"
10481,"mota fang"
10482,"spider cultist's gloves"
10483,"falkwind's shadewrap"
10484,"ahknara's silent slippers"
10485,"house cousin's helm"
10486,"seyne's bootknife"
10487,"naryu's spare blade"
10488,"ordinator chausses"
10489,"shad astula academy robes"
1049,"monkeypig cutlets"
10490,"fiord's ratmaster's bloodbow"
10491,"shornhelm guard sollerets of the vampire's cloak"
10492,"darkstride reezal-jul's dagger"
10493,"darkstride ravenwatch cuirass"
10494,"heloise's staff of necropotence"
10495,"eternal hunt robe"
10496,"proof of trinimac's valor"
10497,"signet of the pariah"
10498,"cured kwama leggings"
10499,"scimitar of suffering"
105,"steel greaves"
1050,"inferno staff of kagrenac's hope"
10500,"sabatons of the pariah"
10501,"robe of trinimac's valor"
10502,"hat of trinimac's valor"
10503,"ferrous salts"
10504,"necromancer's lich-heart"
10505,"pellingare war plate of the sergeant"
10506,"kargand's barkskin helmet"
10507,"exemplary nirnhoned gloves"
10508,"crafting motif 20: yokudan staves"
10509,"crafting motif 20: yokudan helmets"
1051,"ironthread"
10510,"crafting motif 20: yokudan gloves"
10511,"erthas' sunderflame bow"
10512,"the spinner's weave"
10513,"gold coast gauntlets"
10514,"throne keeper coif"
10515,"fire of shazah's wisdom"
10516,"great blade of thizzrini"
10517,"ice staff of the spectre's eye"
10519,"spirit warden's gloves"
1052,"recipe: bitter remorse ale"
10520,"webmistress' silk of cyrodiil's light"
10521,"weapons: bone pirate's tatters"
10522,"traug's arrow flinger of cyrodiil's ward"
10523,"regsrot's shoulders of cyrodiil's ward"
10524,"emelin's clasp of cyrodiil's light"
10525,"sargos' vestments of cyrodiil's light"
10526,"claudette's fingers of cyrodiil's light"
10527,"serrin vol's advantage of cyrodiil's light"
10528,"acanthia's arm of cyrodiil's light"
10529,"thelas' soul of cyrodiil's light"
1053,"brigandine boots"
10530,"orichalc dagger of foulness"
10531,"yew inferno staff of poison"
10532,"dwarven dagger of absorb health"
10533,"mace of the companions"
10534,"gloves of the lutepicker"
10535,"sedura morag"
10536,"general vette's greatsword"
10537,"sugar jacket"
10538,"ratsplatter"
10539,"argonian muck minder of mother's sorrow"
1054,"ironthread jerkin of stamina"
10540,"redoran general's gauntlets"
10541,"ordinator breastplate"
10542,"darkstride silverhoof loop"
10543,"darkstride ravenwatch boots"
10544,"bittergreen's scale of mother's sorrow"
10545,"sharpfang's jagged blade of mother's embrace"
10546,"kagouti slayer medallion of mother's sorrow"
10547,"madcaller's blade of the red mountain"
10548,"netch-hunter's bow of the red mountain"
10549,"little-known metal weapon"
1055,"ebon mace"
10550,"smuggler's gloves of three mercies"
10551,"spinner's sea tamer's torc"
10552,"spriggan's wolf-jaw"
10553,"shalk's madcaller's touch"
10554,"snakeskin belt"
10555,"tazgol's ancestral axe"
10556,"maw of maebomaz of the red mountain"
10557,"fang of scrag of the storm knight"
10558,"the pincher of hist sap"
10559,"naeraizozan's band of hist sap"
1056,"elixir of cowardice"
10560,"darkstride alameric's staff of storms"
10561,"corpse-caller's fury of necropotence"
10562,"centurion breaker of draugr heritage"
10563,"ysgramor's jakolar's staff"
10564,"nimriian's shortblade of soulshine"
10565,"limb-render of the senche"
10566,"seventh legion gauntlets"
10567,"time buckler of the green pact"
10568,"fiord's frigid troll bones"
10569,"fiord's agnenor's brutal blade"
1057,"linen epaulets of magicka"
10570,"drulshasa's dark band of mother's sorrow"
10571,"bonetooth's charm of mother's embrace"
10572,"plague doctor's talisman of bthanual"
10573,"mal sorra's curse of meridia"
10574,"stygian cirterisse's vampiric staff"
10575,"stygian marwoleath's torment"
10576,"vampire lord's gnawed staff"
10577,"elegant bakhig's purestaff"
10578,"sea serpent's tooth of the twin sisters"
10579,"veiled executioner of the twin sisters"
1058,"gods-blind-me"
10580,"fiord's dagger"
10581,"senche-pelt blouse of the withered hand"
10582,"bladethirst of the order of diagna"
10583,"selene's battle greaves of durok's bane"
10584,"bone pirate's pillaging garb"
10585,"duneripper ancient crown"
10586,"briarheart jack"
10587,"investigator's uniform of the sergeant"
10588,"ebon bone staff of the wyrd tree"
10589,"plague doctor's cuirass"
1059,"cinnamon gorapples"
10590,"lion guard sabatons of the wyrd tree"
10591,"queen's eye leathers"
10592,"bloodthorn baelborne signet"
10593,"indoril pyrostaff"
10594,"pathwalker's shield"
10595,"darkstride high king's shield"
10596,"vampire lord's gloves"
10597,"stoneskin gloves"
10598,"helmet of the planes"
10599,"honor's guardian"
106,"claymore of the crucible"
1060,"kresh sash of stamina"
10600,"veiled favor"
10601,"baron sorick's pauldrons"
10602,"chain of hist's power"
10603,"wrap of my enemy's skin"
10604,"mother lightning's spur"
10605,"sheogorath's choice"
10606,"barrowbough's cage"
10607,"bloodshark's cutlass"
10608,"jackdaw's galoshes"
10609,"ukaezai's scalpel"
1061,"elixir of speed"
10610,"telacar's sustaining helm"
10611,"soul-meld staff"
10612,"blood-red brogans"
10613,"stibbon's dress shirt of the prisoner"
10614,"ayleids' coat of memories"
10615,"dungeon-delving mantle"
10616,"ayleid's hope"
10617,"battle bracers"
10618,"ayleid's wrath"
10619,"arbiter's vambraces"
1062,"belt of the armor master"
10620,"the observer's battle helm"
10621,"molag grunda's girdle"
10622,"chausses of the cured"
10623,"skystaff of secrets"
10624,"arithiel's ring"
10625,"greaves of the wolf-father"
10626,"the hound's helm"
10627,"queensguard chestplate"
10628,"king's justice of the wyrd tree"
10629,"bloodthorn guardian's hammer"
1063,"beech lightning staff of frost"
10630,"girdle of medusa"
10631,"wormwood staff"
10632,"wormcrusher's axe"
10633,"pircalmo's rimestaff"
10634,"tovisa's dagger"
10635,"gjakil's shoulder cops"
10636,"gavel of the hallowed"
10637,"artificer's vestments"
10638,"everfull girdle"
10639,"gauntlets of the forest protector"
1064,"linen sash of stamina"
10640,"sargasso's curse"
10641,"staff of the serpent"
10642,"woodhearth breastplate"
10643,"circlet of the wooded eye"
10644,"vinedusk staff"
10645,"ashenblade"
10646,"sword dancer's jack"
10647,"werewolf hide red rook ailettes"
10648,"khaj rawlith crescent of the smuggler"
10649,"defender of the valenheart"
1065,"ice staff of endurance"
10650,"moonhenge chausses"
10651,"wispcutter"
10652,"stormhold cuirass"
10653,"pactbreaker"
10654,"great axe of the crescent moon"
10655,"blessed battle axe"
10656,"blessed sabatons"
10657,"blessed ring"
10658,"prisoner's hat"
10659,"prisoner's axe"
1066,"cuirass of soulshine"
10660,"maul of draugr heritage"
10661,"bow of draugr heritage"
10662,"greaves of draugr heritage"
10663,"helm of draugr heritage"
10664,"witchman's shield"
10665,"axe of the vampire's cloak"
10666,"gauntlets of the hatchling's shell"
10667,"maul of soulshine"
10668,"pauldron of soulshine"
10669,"smuggler's jerkin"
1067,"electrum necklace of potion boost"
10670,"smuggler's bow"
10671,"seventh legion's maul"
10672,"seventh legion's helm"
10673,"seventh legion's sabatons"
10674,"seventh legion's cuirass"
10675,"seventh legion's restoration staff"
10676,"seventh legion's ring"
10677,"jewelry: sword-singer"
10678,"spriggan's maul"
10679,"spriggan's bow"
1068,"soul gem"
10680,"spriggan's battle axe"
10681,"spriggan's restoration staff"
10682,"skald-king's sabatons"
10683,"spriggan's inferno staff"
10684,"spriggan's necklace"
10685,"spriggan's ring"
10686,"forester leggings"
10687,"vampire lord's shield"
10688,"vampire lord's battle axe"
10689,"vampire lord's necklace"
1069,"helmet of the arena"
10690,"vampire lord's ring"
10691,"fiord's necklace"
10692,"inferno staff of stendarr"
10693,"ice staff of stendarr"
10694,"lightning staff of stendarr"
10695,"greatsword of stendarr"
10696,"battle axe of stendarr"
10697,"maul of the sentry"
10698,"inferno staff of the swift"
10699,"mace of the onslaught"
107,"recipe: salmon with radish slaw"
1070,"recipe: alabaster honey rum"
10700,"sword of elf bane"
10701,"battle axe of truth"
10702,"alessian battle axe"
10703,"lamia's epaulets"
10704,"deadly dagger"
10705,"beech ice staff of absorb magicka"
10706,"rubedite battle axe of poison"
10707,"iron sword of foulness"
10708,"mace of flame"
10709,"iron dagger of decrease health"
1071,"hat of oblivion's foe"
10710,"quicksilver dagger of foulness"
10711,"quicksilver dagger of poison"
10712,"iron mace of decrease health"
10713,"yew ice staff of crushing"
10714,"hickory ice staff of absorb stamina"
10715,"dwarven maul of absorb magicka"
10716,"ice staff of the crusader"
10717,"lightning staff of the shadow walker"
10718,"restoration staff of the twin sisters"
10719,"maul of the sergeant"
1072,"sabatons of the black rose"
10720,"mace of the sergeant"
10721,"sword of the sergeant"
10722,"greatsword of the sergeant"
10723,"afflicted inferno staff"
10724,"lightning staff of cyrodiil's crest"
10725,"ice staff of cyrodiil's crest"
10726,"dagger of imperial wrath"
10727,"senche's boots"
10728,"smuggler's sash"
10729,"sash of the trainee"
1073,"band of bone cracking"
10730,"crafting motif 25: aldmeri dominion style"
10731,"hammer of orgnum's scales"
10732,"rubedite maul of foulness"
10733,"maple ice staff of decrease health"
10734,"pewter necklace of potion boost"
10735,"maple bow of hardening"
10736,"dwarven maul of hardening"
10737,"dwarven sword of foulness"
10738,"weapons: green pact"
10739,"inferno staff of cyrodiil's crest"
1074,"epaulets of the lich"
10740,"shield of the hatchling's shell"
10741,"jewelry: jailbreaker"
10742,"greaves of the green pact"
10743,"gauntlets of the vampire's cloak"
10744,"cuirass of the order of diagna"
10745,"darkstride hatespinner amulet"
10746,"light speaker's epaulets"
10747,"nindaeril's tooth of the green pact"
10748,"cuirass of the vampire's cloak"
10749,"shalk's dagger"
1075,"sweet scamp mazte"
10750,"inferno staff of the shadow walker"
10751,"weapons: ysgramor's birthright"
10752,"sabatons of draugr heritage"
10753,"lamia's robe"
10754,"knight-errant's pauldron"
10755,"weapons: armor of the trainee"
10756,"thunderbug's sabatons"
10757,"rattlecage girdle"
10758,"restoration staff of cyrodiil's crest"
10759,"spelunker's arm cops"
1076,"qhalua liqueur"
10760,"hollow moon cowl"
10761,"jewelry: green pact"
10762,"orichalc maul of absorb stamina"
10763,"helm of medusa"
10764,"seventh legion's ice staff"
10765,"spider cultist's epaulets"
10766,"girdle of the order of diagna"
10767,"bloodthorn wyress mantle"
10768,"lamiascale bow of the wilderqueen"
10769,"rattlecage helm"
10770,"lightning staff of the fire"
10771,"black forge blade"
10772,"stibbons's fancy epaulettes of necropotence"
10773,"beekeeper's necklace"
10774,"general malgoth's war harness"
10775,"spinner's shoes"
10776,"jailbreaker arm cops"
10777,"blessed greaves"
10778,"spriggan's bracers"
10779,"ring of the green pact"
1078,"recipe: grape-glazed bantam guar"
10780,"watchman's helm"
10781,"shoes of the netch's touch"
10782,"shoes of hist sap"
10783,"spriggan's axe"
10784,"bone pirate's jack"
10785,"spider cultist's sash"
10786,"light speaker's jerkin"
10787,"restoration staff of soulshine"
10788,"weapons: spelunker"
10789,"axe of the green pact"
1079,"rawhide guards of magicka"
10790,"jakarn's machete"
10791,"weapons: toothrow"
10792,"rattlecage greaves"
10793,"the overlord's sun shield of soulshine"
10794,"spinner's breeches"
10795,"jewelry: netch's touch"
10796,"skald-king's greaves"
10797,"thunderbug's greaves"
10798,"vampire lord's robe"
10799,"gauntlets of the green pact"
108,"acai tonic infusion"
1080,"dwarven sabatons of magicka"
10800,"dres dirk"
10801,"spiderstaff of the green pact"
10802,"shield of stendarr"
10803,"dungeon-delving harness"
10804,"beekeeper's ring"
10805,"bogstaff"
10806,"riekling skull-cleaver"
10807,"sword-singer's helmet"
10808,"pauldron of medusa"
10809,"cuirass of the veiled heritance"
1081,"moderate glyph of frost"
10810,"ruby ash lightning staff of absorb magicka"
10811,"weapons: jailbreaker"
10812,"necklace of the ranger"
10813,"mantle of honor"
10814,"bulwark of the citadel"
10815,"lamia's hat"
10817,"sabatons of the vampire's cloak"
10818,"weapons: spriggan's thorns"
